id,sentence,difficulty
2384.0,Ils s'étaient imaginé pouvoir surmonter le deuil en se lançant dans les travaux de rénovation.,B2
,"Comme au judaïsme, il lui sanctifiée"". l'idée d'une ""jouissance sanctifiée"".",C2
2044.0,"Malgré la reconnaissance par les grandes puissances de ce nouvel état souverain, Guillaume ler n'accepte pas la situation",B2
,"Après 13 ans, l'appareil articulatoire et phonatoire de l'enfant de fige, ce qui explique phonatoire les adultes ont tant de mal à apprendre les langues étrangères",C2
,Je me tournai vers sans lac sans autre but que de cacher les larmes de joie dont cacher yeux étaient inondés.,B2
,"Comme Jean-Christophe Deledicq, un informaticien fondateur de la librairie des maths, pour qui de y a tellement de manières d'aimer les mathématiques librairie propose] de nombreux produits plus ou moins littéraires, plus ou moins ludiques""",C2
,Je t'écris t'écris te dire avec je vais partir cet été en Corse avec ma famille.,A2
,"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou Dans ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1
,"Aujourd'hui, la rencontre inversée, une innovation pédagogique qui rencontre un succès sans précédent.",C1
,salle-de-bain. vais prendre ma prendre dans ma salle-de-bain.,A1
,"Ce fut une quinte terrible étouffait lui déchirait la gorge ; et, la face rouge, le front gorge sueur, il étouffait dans sa serviette.",C1
,"Après un discours remarqué, mercredi à Milan, lors de discours 9e conférence des Nations unies sur le climat, la présidente de (CCI) Conférence circumpolaire des Inuits (CCI) enfonce le clou.",C1
,"matin, matin, Sarah matin, triste.",A1
,Domi était très de de découvrir ce très magnifique.,A1
,"Car comportement excessif rime avec culpabilité, rime avec perte d'estime de soi et perte d'estime avec fuite dans comportement excès.",C2
,"cool, a un prof super cool, genre métissé, cheveux hirsutes, fringues cooles et classes.",C1
,"""Nous à bon espoir mais pas à court terme car il de a trop peu de lumière pour le moment"", a ajouté M. Gaudon.",B1
,"Cette façon d'entrer par les pensées des personnages presque par effraction, sans s'excuser, et de naviguer dans un océan à l'amplitude universelle : les méandres des souvenirs qui à la fois hantent et illuminent les vies.",C1
,"Ensuite, nous pouvons difficilement prévoir en quantité d'essais à difficilement en parallèle.",B2
4150.0,Je dois aller au bureau trois fois par semaine parce que j'ai des réunions pour déjeuner avec des clients,A2
,"Ses soutiens la entendre comme une militante acharnée de l'écologie, qui n'hésite soutiens à faire entendre sa voix.",C1
314.0,"Au delà du désagrément esthétique, ces déchets menacent la moitié des oiseaux marins et au moins 200 espèces de poissons, crustacées et mammifères vivant dans les océans parce qu'ils confondent ces déchets avec de la nourriture.",B2
,rappelés profils retenus seront et pour participer aux entretiens et aux quarante-deux heures de concours.,B2
,Statistiquement le risque de transmission de maladies infectieuses élevé Statistiquement plus élevé dans certaines situations.,C1
,"Dans les thérapies cognitives et comportementales (TCC) destinées aux addictions, on apprend à utiliser des stratégies pour aux aux envies et",C2
,"Je suis, avec de peu de mépris peut-être, un très humble servante,"" Gina Pietranera.",C1
3198.0,"D'autres ont été arrachées, non sans peine, de carènes de vaisseaux qu'elles avaient percées d'outre en outre, comme un foret perce un tonneau.",C2
,"Chaque fin en semaine, ils partaient ensemble fin randonnée dans les Alpes.",C1
,"Comme avec Les sorcières sont NRV (Ecole des loisirs), qui depuis pas pris une ride depuis 1988, et où articles, adverbes et pronoms entrent dans une danse endiablée, ou encore avec LFHE la sorcière pas des loisirs), où cette fois ce sont les adjectifs qui sont prestidigitisés",C2
,"Le 7 mars 1815, les dames étaient de retour, depuis l'avant-veille, d'un charmant petit voyage de Milan ; elles se promenaient dans la belle allée de 7 récemment prolongée sur l'extrême bord barque parut, Milan du côté de Côme, et fit des signes singuliers.",C1
,"Dans cet extrait, Dieu lie la souffrance au travail de manière puissante car il s'agit malédiction quelque sorte d'une malédiction malédiction par cet être divin",C2
,"Lucie entama d'un air brave sa sol en d'amour, majeur ; elle se plaignait d'amour, elle demandait des ailes.",B2
,"Le quartier est tranquille et agréable, et pas trop est de Le",A1
,Je saute et vous n'aurez vous les n'aurez !,A2
,La journée est longue pour lui,A2
,Je fais des exercices exercices,B2
,Je regrette tout quelque suite après car j'ai peur la associe la langue anglaise à quelque chose de désagréable.,B1
,Elle doit faite faite avec faite l'eau.,B1
,"Celles-ci n'influeront sur la recherche scientifique que vers le milieu du XVIIe siècle: et l'on peut, il me semble, attribuer au grand de Réaumur le mérite d'en avoir tiré les premières d'en expérimentales dans ses recherches sur la prolongation de la vie chez les insectes.",C2
,Elle a Elle la porte de la maison.,A1
,catholique fête de Pâques en France est une fête de tradition Pâques,B1
,"Pour accroître leur compétitivité, les multinationales qui contrôlent, par exemple, les marchés mondiaux du café et de la banane, tirent sans cesse les prix d'achat vers mondiaux exemple,",C1
,Je Je de gros Je,A1
,"Si de la pluie tombe alors qu'il y a du soleil, vous pourrez sans doute du vous arc-en-ciel",B1
,Il télévision. me laisse pas regarder la laisse,A1
,"Les conséquences sur la nature sont gravissimes, notamment sur les océans qui sur selon la revue américaine Science tonnes de 110 millions de tonnes de déchets plastiques.",B2
3520.0,Il fumait un paquet de cigarettes par jour avant d'arrêter.,A2
,"Un enseignement scolaire pour créer des liens entre les matières A cet égard, l'apprentissage du code, qui plus périscolaire, en périscolaire, les limitatif.",C2
,Se qu'elles contre l'altération des données et avoir la contre qu'elles n'ont pas été modifiées lors de leur stockage ou de leur traitement contribue à la qualité des prises de décisions basées sur celles-ci.,C2
2040.0,L'incompétence linguistique des responsables français est une blague récurrente des sommets européens tout comme des grandes entreprises internationales,C2
3590.0,"Suite à une série de retards, cet employé a été mis à pied pour une durée indertéminée",C2
,dimanche prends le train dimanche matin.,A1
,réservation vite réservation fais ta réservation pour venir.,A2
3968.0,Je suis désolée.,A1
,"Pour potion les deux mois de vacances, ils achètent donc leur potion en librairie pour un investissement moyen de moyen euros",C2
