id,sentence,difficulty
,C'est vraiment génial d'être en et et d'avoir les la les musées et la plage au même endroit,B1
,Je suis mon en retard à arrivé rendez-vous quotidien.,A2
,Vous pourrez assister ce soir à la première de deux émissions qui ont pour objectif de savoir quel est pour chanteur chanteur la chanteuse préféré(e) des Français.,B1
,Je ne peux le le le,A1
1171.0,Depuis combien de temps?,A2
,"Serge, Papa est jusqu'à voyage jusqu'à est",A1
,"Cependant, un recours en urgence a suspendu la décision, imposant le statu quo le temps qu'une cour en examine le dossier, et ce afin d'éviter un ""effet la",C1
,paradoxe. Cruel,C1
2976.0,"Pour le plat de résistance de ce soir, je n'ai ni de tomates, ni de courgettes dans mon garde-manger.",B1
,"Les par partagées par exemple ou ce genre dit, chose, là je me suis dit, cet été, bof quoi.",B1
,"Dès cette époque, il existe des établissements spécialisés pour la préparation des pour pour la plupart des institutions privées.",C2
,J'aime le fromage,A1
,C'est un scandale qu'on puisse construire une usine usine cette une,B1
,"Ellénore, en un mot, était un lutte constante avec sa lutte",B2
,Il est important de important du important,A1
,"puissants la chute de Napoléon, certains personnages puissants à Milan firent assommer dans les rues le comte Prina, ancien ministre du roi d'Italie, et firent du premier mérite.",C1
,"Tous traînait jours, il traînait dans il rue sans rien faire.",B1
,Mais pas en proposant des portions présentées présentées de manière pompeuse.,B2
,Les mères de rejoins amis d'école se sont rejoins devant la grille pour les Les,B1
,"Le pour où, à la suite d'une orgie, il se trouva décidément volé, il acheta deux beaux chevaux, beaux pour domestique un ancien soldat palefrenier du maquignon, et, dans son mépris pour les jeunes Parisiens beaux parleurs, partit pour l'armée.",C1
,"Ça nous Ça donc coûté Ça l'argent, s'énerve-t-elle.",B1
,Bienheureux le quidam que voilà débarrassé d'échouer cette peur originelle d'échouer et de faire débarrassé,C2
,des Net a encouragé des chez utopistes chez d'autres.,C1
,"Car, quêtes les émoluments fixes étaient insignifiants, il il avait le casuel, il y avait surtout les quêtes à domicile.",C2
,Leur s'effiloche. de concentraction de,B2
,Marie-Hélène Lahaye a fait et fait et dans la lutte contre les violences obstétricales et gynécologiques (VOG) mais utilise cette affaire de façon contre,C1
,On On aussi d'autres aussi et ça a commencé comme ça à ce moment-là,A2
,"Début février, ses 15 membres avaient publié une déclaration commune qui une leur préoccupation sans toutefois condamner le coup d'Etat, Pékin et Moscou, alliés traditionnels de l'armée membres s'opposant à une telle formulation.",C1
,j'ai trop ventre. j'ai mal au ventre.,A2
,Vous êtes partie.,A1
,"Là, la pourra visiter la fameuse basilique Lyon Dame de Fourvière et contempler la splendide vue panoramique sur la ville de Lyon depuis le belvédère",B2
,Elle ajoute qu'une interdiction totale totale impossible à est,B2
,Dans le tous tous les hommes n'ont pas la peau Dans,B1
2521.0,L'hôtel avait une belle piscine dont je n'ai pas eu le temps de profiter.,B1
